,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
0,Data Engineer Giro Petrolero,LeaderPeople,"Villahermosa, Tab.",None,+30,2020-11-22,"""Somos una empresa incluyente, promovemos la igualdad laboral y la no discriminación”. LeaderPeople se encuentra actualmente en busca de un Data Engineer para…",https://mx.indeed.com/rc/clk?jk=f4b54d78d35c78b5&fccid=ec6c7c6c1f43db3a&vjs=3
1,Data Scientist/Machine Learning Engineer,Consultoria en TI,Desde casa,"$55,000 - $62,000 al mes",10,2020-11-22,"Experienced with data wrangling (data cleaning, feature selection, data imputation). Experience designing machine learning pipelines (data processing, model…",https://mx.indeed.com/company/Consultoria-en-TI/jobs/Data-scientist-machine-learning-engineer-dac86fbf5b3db8eb?fccid=84b1035ca3de3bf5&vjs=3
2,Advanced Manufacturing Engineer,VG Talent Solutions,"Ciudad Juárez, Chih.","$30,000 - $50,000 al mes",17,2020-11-22,Seeking alternate solutions to problems and making recommendations based on data. This position will focus on the launch of product to manufacturing by adhering…,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AceKcR7Snp9W_ZGwkMMGgdqr-oZrGxzBwOBp5taOeDGuLADtiUHSQpYaGf2RiC-P95jm-yvhirpnaWFdPrvW60ewHLFVXBxgTgn2yurbZQp7YfiVJLn8CpVCyM4Ii5k2OXXTOjypAyJ1BxOtanLElm9IbgttcfMQWh6PaeMso4Dt6gaYdXbGc1tVWaX9ImLmnu6ZML9aQMZ2rxwqzRCeDtnqLnpYilEG-gChJx_t7HPy11Id6aJKJHF8v7Gu7yTzWEEUbvhUTm2AGGl4YHUt2Fox5bpBrJ4Zvpy7RJ-nHwikJWuOC8q977OZx-bzhZmqQOP3SlOFx_Hzh_-Oq9X5D1nA4K0fjOS6WgKAV-IUykZFgqpgZxFVOu2CsSKoT7dr7Yq0s-Q-74rCmulmM2iK2Pa2ZHGXdVVlIAzTHvvGcyUKlIokuNMbN1IFQWxoQ0pI5h-HsdDxSZqJTLvyWNZCDb&p=2&fvj=1&vjs=3
3,Data Engineer,Konfio,"Colonia Polanco, CDMX",None,3,2020-11-22,"Apply concepts of data integrity, data quality, data security. The Data Engineer will support our software developers, database architects, data analysts and…",https://mx.indeed.com/rc/clk?jk=d4a861ac9938ed4f&fccid=026893d6a31257b7&vjs=3
4,Data Engineer Sr,Konfio,"Colonia Polanco, CDMX",None,9,2020-11-22,"Apply concepts of data integrity, data quality, data security. Keep our data separated and secure through multiple data sources. What will I be doing?",https://mx.indeed.com/rc/clk?jk=61d9254f65fce79a&fccid=026893d6a31257b7&vjs=3
5,"GIS Data Engineer I - Leon, Mexico",HERE Technologies,"León, Gto.",None,+30,2020-11-22,"Leverage data engineering technologies like FME, ArcGIS, Python, SQL and others to transform and integrate data, or create products.",https://mx.indeed.com/rc/clk?jk=24e30110303e7a1b&fccid=1a8dd67b37dcdef8&vjs=3
6,Data Engineer,Consultoria en TI,Desde casa,"$70,000 - $72,000 al mes",10,2020-11-22,"Duración del contrato: 9 meses. Tipo de puesto: Por contrato. Salario: $70,000.00 - $72,000.00 al mes. BigData: 4 años (Requisito mínimo).",https://mx.indeed.com/company/Consultoria-en-TI/jobs/Data-engineer-ddc96c101156f1c3?fccid=84b1035ca3de3bf5&vjs=3
7,Manufacturing Engineer,John Deere,"Torreón, Coah.",None,9,2020-11-22,"Investigates, gathers and analyze data for specifically assigned, recurring tasks. Modifies existing performance pay plans; assists in development of baseline…",https://mx.indeed.com/rc/clk?jk=c975ca5eb47952b1&fccid=38eb72d608d80c79&vjs=3
8,Mechanical Designer (Wet Seals),John Crane,"Cuautitlán Izcalli, Méx.",None,1 día,2020-11-22,"Work with the engineer to develop and execute production of engineering drawings, engineering change documentation, and data from various engineering…",https://mx.indeed.com/rc/clk?jk=3d6e1c1161f4123d&fccid=49058a8065a57ae1&vjs=3
9,Design Engineer,John Deere,Nuevo León,None,5,2020-11-22,Working together with senior engineers to define and document test plans. There are 7 billion people on this planet. Primary Location: Mexico (MX) - Nuevo León.,https://mx.indeed.com/rc/clk?jk=73a16f5bf0791604&fccid=38eb72d608d80c79&vjs=3
10,Data Engineer,Abraxas,"San Ángel Inn, Méx.","$35,000 al mes",10,2020-11-22,En Abraxas buscamos un Ingeniero o Ingeniera de datos para colaborar activamente con nuestro equipo de Desarrollo y Ciencia de datos.,https://mx.indeed.com/company/Abraxas/jobs/Data-engineer-fdcb20b147e27775?fccid=ace24eb98b51285d&vjs=3
11,Construction Project Engineer – Data Centres,Turner & Townsend,"Querétaro, Qro.",None,2,2020-11-22,Experience in managing data centre infrastructure deployments. Ability to effectively communicate complex technical solutions and concepts to engineers.,https://mx.indeed.com/rc/clk?jk=3e56a86c63ab77d4&fccid=6803bea41688e709&vjs=3
12,Quality Engineer,Autoliv Mexico,"Querétaro, Qro.",None,1 día,2020-11-22,Document technical aspects of assigned projects and ensures that data is properly retained. The main Responsibilities are: • Lead and coach people to perform…,https://mx.indeed.com/rc/clk?jk=786915fe36362a17&fccid=f1f71169fe44a4e6&vjs=3
13,Big Data Engineer,Segundamano,"Cuauhtémoc, CDMX",None,18,2020-11-22,Collaborate with stakeholders to ensure availability of data sources and data tools. Do you know what is big data? Do you know what is the internet of things?,https://mx.indeed.com/rc/clk?jk=0b5f57c18256c427&fccid=58000ab63795c5f4&vjs=3
14,Supplier Quality Engineer,John Deere,Coahuila,None,9,2020-11-22,"Knowledge of advanced data gathering and analysis techniques, including statistical analysis. Investigates unit quality related issues and concerns related to…",https://mx.indeed.com/rc/clk?jk=a54f72a0c5c815a7&fccid=38eb72d608d80c79&vjs=3
15,Supplier Quality Engineer,John Deere,Coahuila,None,9,2020-11-22,"Knowledge of advanced data gathering and analysis techniques, including statistical analysis. Investigates unit quality related issues and concerns related to…",https://mx.indeed.com/rc/clk?jk=a54f72a0c5c815a7&fccid=38eb72d608d80c79&vjs=3
16,SECURITY ENGINEER,Discovery Personnel,"Álvaro Obregón, CDMX","$50,000 - $60,000 al mes",3,2020-11-22,Nos encontramos en la búsqueda de los siguientes especialistas en Seguridad: -SECURITY ENGINEER **(Sr Security Consultants/Architect (Access/Test/Operate- ATO…,https://mx.indeed.com/company/Beyserin-Consulting-M%C3%A9xico/jobs/Security-engineer-c5b986a42c36ee51?fccid=ee5e4f8cf2e3fd25&vjs=3
17,DATA ENGINEER,ARKON DATA,"Álvaro Obregón, CDMX",None,12,2020-11-22,Arkon Data* es una compañía que desarrolla soluciones para resolver los problemas de datos más difíciles de las empresas. 3 años en puesto similar.,https://mx.indeed.com/company/Arcon-Data/jobs/Data-engineer-b6a7bb457feccde3?fccid=2557ac561d1d5a6b&vjs=3
18,Machine Learning Engineer,Samsung Electronics,México,"$23,000 - $25,000 al mes",25,2020-11-22,"Samsung is currently recruiting world-class engineers who share our “Innovation through passion” philosophy and thrive in a fast-pace, results-driven…",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DO8gn0DS10ps9igS12mVWUdv0wn5LAeaDS-wtTe8kzsvLNlvOA_q9-Z0jj2WEkwkiXenTWYgkqfWrhekbOBAYVPtPrIf1aQInphgaalXzAtCZ3ILhj1zKhNMsPCMPh6r44IebNHgKLCYbTbxM3cuxwU-6CyMoOfF_ZJeLogtMyaCpROrOPIDQmskvaz6roAi25jvRzHMvHM3Uzr4cI81o3KZLmsOjali0YribaH3uEG5-HabM6jDYfvApagB311Fi47AeHsiPLs_QdsPhmI6ezj1jhGu1hlyU1AIfriLru0yyq9Zb5CyXQ4yK9Sf_5xAfYkjM_TFNf3R76x9jJjzM-StVEq54ZU03F8Zo-PaRflmP3SG8GS9aQK97785yBHOzb5bfhgUMlg34WOBUj0DbhOt0pr8BkTgjoUvm74z_w0RY7Txol1AGr4Vu34gACBguExFrSczMhuw==&p=3&fvj=1&vjs=3
19,Hydraulic Mechanical Engineer (rotating equipment),John Crane,"Cuautitlán Izcalli, Méx.",None,9,2020-11-22,"As a member of the ELU (Engineered Lubricator Units) team, the engineer will design and engineer seal and bearing lubricators. Other duties may be assigned.",https://mx.indeed.com/rc/clk?jk=f4a6a1fe84c9ef3c&fccid=49058a8065a57ae1&vjs=3
20,DESIGN ENGINEER PWR GEN,John Deere,Coahuila,None,10,2020-11-22,"This may include possible involvement of other functional engineers, supply management and/or supplier personnel. There are 7 billion people on this planet.",https://mx.indeed.com/rc/clk?jk=ab2a5e0382716a6e&fccid=38eb72d608d80c79&vjs=3
21,Data Engineer Programming,Remoto desde México,"Miguel Hidalgo, CDMX",None,3,2020-11-22,"Empresa Líder en Tecnologías de la Información con con presencia en México, está en la búsqueda de talento TI como: Experiencia en proyectos de Datawerehouse.",https://mx.indeed.com/company/ECOSISTEMAS-MEXICO/jobs/Data-engineer-programming-0d36184858cb7f07?fccid=a0aa88c5f340eb82&vjs=3
